Label,Text,Desc
Skill,Brand Management,"Co-create the organisation's projected brand and reputation with the customer, consider customer's perspectives and the organisation's desired image and priorities. This also includes the development and execution of branding campaigns, public relations and reputation management strategies to sustain or enhance the desired brand"
Knowledge,Brand Management,"Categorization, Pattern Recognition and Matching"
Knowledge,Budgeting,Budgeting
Skill,Budgeting,"Preparing organisational budgets to support short- and long-term business plans through forecasting, allocation and financial policy setting."
Knowledge,Budgeting,"Arithmetic reasoning (also Computational ability), Judgment (Personal and Professional)"
Skill,Building Inclusivity,"Collaborate with stakeholders from different backgrounds or with different abilities, including diversity dimensions such as race, ethnicity, religion, gender orientation, age, physical and learning ability, education, socio-economic status and political belief, to understand the interests of diverse groups and build an inclusive work environment"
Skill,Building Inclusivity,"Cultural awareness in a broad sense (nationality, ethnicity, linguistic, gender, sexual orientation), relationship-bulding"
Knowledge,Business agility,Business agility
Skill,Business agility,"Organise the business, work activities and people in ways that enable the organisation to readily adapt to changes in its internal or external environment, whilst achieving desired outcomes and delivering value to customers"
Knowledge,Business agility,"Time management,  Relationship-building "
Skill,Business continuity,"Develop internal infrastructure to ensure organisational resilience and maintenance of the availability, stability and integrity of critical systems, processes and stakeholders that support and drive key aspects of the business. This includes the planning, designing and testing contingency plans and setting up of internal systems and structures which are ready to respond to potential threats and maintain desired levels of continuity."
Knowledge,Business continuity,"Prudence, Managing changes"
Skill,Business Development,"Explore and establish strategic business opportunities for the organisation and translate market research and/or analysis into viable leads. This would encompass identification of new markets and potential customers, active generation and pursuit of leads and commercial opportunities, regular engagement with relevant industries to introduce and promote the organisation's IT products, services or offerings"
Knowledge,Business Development,"Continuous Learning, Coordination & Sequencing"
Skill,Business environment analysis,"Analyse data pertaining to the business landscape and environment, including competitor-analysis, trends and developments in laws and regulations and the impact on the business"
Knowledge,Business environment analysis,"Reflection, Perception Speed"
Knowledge,Business Innovation,Business Innovation
Skill,Business innovation,Identify and evaluate digitisation and innovative business opportunities provided by new advancements in information and communication technology to establish new services or businesses to bridge the physical and digital worlds
Knowledge,Business innovation,"Curiosity, Reflection"
Skill,Business needs analysis,"Identify and scope business requirements and priorities through rigorous information gathering and analysis as well as clarification of the solutions, initiatives and programmes to enable effective delivery. This also involves the development of a compelling and defensible business case and the articulation of the potential impact of the solution to the business"
Knowledge,Business needs analysis,"Acumen (Sagacity and shrewness), Judgment (Personal and Professional)"
Knowledge,Business negotiation,Business negotiation
Skill,Business negotiation,Conduct negotiations to establish win-win outcomes for the organisation
Knowledge,Business negotiation,"Assertiveness, Inquiry (Appreciative)"
Skill,Business Performance Management,"Implement organisational performance systems to meet business plans and objectives by establishing performance indicators, tracking progress and addressing gaps"
Knowledge,Business Performance Management,"Initiative, Judgment (Personal and Professional)"
Skill,Business process re-engineering,"Analyse business processes and workflows within the organisation and identification of new approaches to completely redesign business activities or optimise performance, quality and speed of services or processes. This includes the exploration of automating and streamlining processes, evaluation of associated costs and benefits of redesigning business processes, as well as the identification of the potential impact and the change management activities and resources required"
Knowledge,Business process re-engineering,"Continuous Learning, Reflection"
Skill,Business requirements mapping,Map business requirements to existing processes to identify gaps or opportunities for possible solutions and evaluate impact of solutions against requirements to propose adjustments as needed
Knowledge,Business requirements mapping,"Initiative, Judgment (Personal and Professional)"
Skill,Business risk management,"Forecast and assess existing and potential IT risks which impact the operation and/or profitability to the business as well as the development and roll out company-wide strategies and processes to mitigate risks, minimise their impact or effectively manage such business risks"
Knowledge,Business risk management,"Judgment (Personal and Professional), Reflection"
Abilities,Categorization,Categorization is defined as the ability to abstract common properties of objects and create a conceptual construct or a class which can then be extended to include all objects possessing these common properties
Abilities,Change management,Change management
Skill,Change management,"Plan and systematic execution of processes to facilitate the transition of individuals, teams and organisations to a desired end state in a manner that is seamless, sustainable and aligned with business objectives. This includes the redirection of resources, business processes, finances and operating models, as well as stakeholder engagement to facilitate implementation and maximise adoption."
Knowledge,Change management,"Managing Changes, Negotiating and Conflict Resolution"
Abilities,Clarification,"Clarification helps boost communication, team effectiveness, and organisational culture."
Skill,Cloud computing,Implement cloud solutions to enhance business performance and security of IT systems
Knowledge,Cloud computing,"Autonomy (Intellectual), Prioritize Efficiently"
Abilities,Cognitive flexibility,"Cognitive flexibility is the ability to switch between different tasks or to think about multiple concepts at the same time. It is an important part of executive function. It helps us to plan, organize, and complete tasks."
Skill,Collaboration,Manage relationships and work collaboratively and effectively with others to achieve goals
Skill,Collaboration,"Emotional intelligence (self-awareness, self-regulation, motivation, empathy, and social-awareness), Leadership (motivating team members)"
Abilities,Commitment,Commitment
Skill,Communication,"Convey and exchange thoughts, ideas and information effectively through various mediums and approaches"
Skill,Communication,"Clarification, Assertiveness"
Skills,Comprehension,Comprehension
Knowledge,Computational modeling,Computational modeling
Skill,Computational modelling,"Develop, select and apply algorithms and advanced computational methods to enable systems or software agents to learn, improve, adapt and produce desired outcomes or tasks. This also involves the interpretation of data, including the application of data modelling techniques to explore and address a specific issues or requirements"
Knowledge,Computational modelling,"Coordination & Sequencing, Reliability"
Skill,Computer vision technology,Develop and deploy vision analytics algorithm and spatial sensing and/or reasoning systems
Knowledge,Computer vision technology,"Attention to Details, Initiative"
Abilities,Concentration span,Selective attention refers to the processes that allow an individual to select and focus on particular input for further processing while simultaneously suppressing irrelevant or distracting information.
Abilities,Confidentiality,Confidentiality is about keeping information secret and private. No part of it is about 'providing information' to anyone else. Confidentiality is very much a deontological ability: it places a duty on one individual to another.
Skill,Configuration tracking,"Track systematically and manage changes and revisions in software projects to ensure that all changes are accounted for and to protect assets against unauthorized change, diversion and inappropriate use"
Knowledge,Configuration tracking,"Coordination & Sequencing, Leadership (Motivating Team Members)"
Skill,Consumer Intelligence Analysis,"Devise frameworks for consumer intelligence analysis to develop an understanding of customer knowledge from various customer touch points, for example, Customer Relationship Management (CRM), Point-of-Sale (POS) and e-Commerce systems"
Knowledge,Consumer Intelligence Analysis,"Boldness (Risks Handling ), Coordination & Sequencing"
Skill,Content management,"Create, curate and manage the organisation's web assets and content using appropriate systems and platforms to engage prospects and customers on the organisation's value propositions"
Knowledge,Content management,"Coordination & Sequencing, Attention to Details"
Skill,Content Strategy,Develop a content strategy to include the conceptualisation and mapping of digital storyboards as well as the optimisation of content delivery parameters to market the organisation's products and services
Knowledge,Content Strategy,"Coordination & Sequencing, Judgment (personal and professional)"
Skill,Continous Integration and Continuous Deployment,"Manage the planning, building, testing and integration of codes, and deployment of software changes and updates into a live environment"
Knowledge,Continous Integration and Continuous Deployment,"Reliability, Time Management"
Abilities,Continuous learning,Continuous learning is the process of learning new skills and knowledge on an on-going basis. It involves self-initiative and taking on challenges.
Skill,Contract Management,Formalise contracts and/or service level agreements with providers of products and services including measure and manage supplier performance and fulfilment of agreed-upon service level agreements. This includes resolution of contractual issues and maintenance of vendor and/or provider relationships
Knowledge,Contract Management,"Negotiating and Conflict resolution, Relationship-building"
Skill,Control system programming,"Develop capabilities in areas of communications and remote operations by programming logic circuits and erasable programmable read-only memory for ships, rigs and/or conversions"
Knowledge,Control system programming,"Coordination & Sequencing, Time Management"
Abilities,Coordination & sequencing,"Coordination ensures that employees do not engage in cross-purpose work since it brings together the human and material resources of the organization. Therefore, there is less wastage of resources which helps the organization utilize them optimally."
Skill,Creative thinking,"Adopt diverse perspectives in combining ideas or information and making connections between different fields to create different ideas, improvements and solutions"
Skill,Creative thinking,"Plasticity (Neuroplasticity behavior), Curiosity"
Skill,Crisis management,Develop and implement crisis management plans for organisational preparedness of disruptive events within the broader context of business continuity management
Knowledge,Crisis management,"Negotiating and Conflict Resolution, Reflection"
Abilities,Cross-modal integration,"The ability to handle shared interactive spaces through different sets of modalities, and to use cross-modal tools combining visual diagrams editors with auditory and haptic views to allow simultaneous visual and non-visual interaction."
Abilities,"Cultural awareness in a broad sense (nationality, ethnicity, linguistic, gender, sexual orientation)",Cultural awareness is sensitivity to the similarities and differences that exist between two different cultures and the use of this sensitivity in effective communication with members of another cultural group.
Abilities,Curiosity,"Curiosity in the workplace is the drive to explore, learn, question, and seek new knowledge and ideas. It fuels innovation, fosters personal and professional growth, and creates a culture of continuous learning and improvement."
Knowledge,Customer behavior analysis,Customer behavior analysis
Skill,Customer Behaviour Analysis,Devise customer behaviour analysis tools and approaches and perform analysis on information pertaining to customer behaviours
Knowledge,Customer Behaviour Analysis,"Boldness (Risks Handling ), Curiosity"
Skill,Customer Experience Management,"Develop and implement a cohesive end-to-end customer journey and experience to engage a population of customers with changing profiles, demands and buying patterns"
Knowledge,Customer Experience Management,"Cognitive flexibility, Coordination & Sequencing"
Skill,Customer orientation,"Identify the needs of customers, both internal and external, to deliver an effective customer experience"
Skill,Customer orientation,"Mentoring, Negotiating and Conflict resolution "
Skill,Cyber and Data Breach Incident Management,"Detect and report cyber and data-related incidents, identify affected systems and user groups, trigger alerts and announcements to relevant stakeholders and efficient resolution of the situation"
Knowledge,Cyber and Data Breach Incident Management,"Engage, Prioritize efficiently"
Skill,Cyber forensics,"Develop and manage digital forensic investigation and reporting plan which specifies the tools, methods, procedures and practices to be used. This includes the collection, analysis and preservation of digital evidence in line with standard procedures and reporting of findings for legal proceedings"
Knowledge,Cyber forensics,"Attention to Details, Prioritize efficiently"
Skill,Cyber Risk Management,"Develop cyber risk assessment and treatment techniques that can effectively pre-empt and identify significant security loopholes and weaknesses, demonstration of the business risks associated with these loopholes and provision of risk treatment and prioritisation strategies to effectively address the cyber-related risks, threats and vulnerabilities identified to ensure appropriate levels of protection, confidentiality, integrity and privacy in alignment with the security framework"
Knowledge,Cyber Risk Management,"Boldness (Risks Handling ), Confidentiality"
Skill,Data analytics,"Implementing data analytics within the organisation to generate business insights and intelligence through the use of statistical and computational techniques and tools, algorithms, predictive data modelling and data visualisation."
Knowledge,Data analytics,"Cognitive Flexibility, Pattern Recognition and Matching"
Skill,Data Centre Facilities Management,"Manage and maintain data centre resources, facilities and/or physical infrastructure to ensure smooth, stable and sustainable operations within data centres. This includes monitoring and managing energy supply requirements, availability and consumption, ensuring the necessary resources are in place to support a stable power supply and day-to-day management of data centre equipment. This involves the management of the physical environment / conditions within the data centre and implementation of security measures to safeguard the integrity of the data centre"
Knowledge,Data Centre Facilities Management,"Attention to Details, Prioritize efficiently"
Skill,Data design,"Specify and create a data structure or database model, including the setting of various parameters or fields that can be modified to suit different structured or unstructured data requirements, the design of data flow, as well as the development of mechanisms for maintenance, storage and retrieval of data based on the business requirements"
Knowledge,Data design,"Acumen (Sagacity and shrewness), Categorization"
Skill,Data engineering,"Develop and implement efficient and stable processes to collect, store, extract, transform, load and integrate data at various stages in the data pipeline. This also involves processing varying amounts of data from a variety of sources and preparing data in a structure that is easily access and analysed according to business requirements"
Knowledge,Data engineering,"Attention to Details, Coordination & Sequencing"
Skill,Data ethics,"Apply legal and ethical principles in the collection, use, storage and disposal of data"
Knowledge,Data ethics,"Confidentiality, Ethics and integrity"
Skill,Data governance,"Develop and implement guidelines, laws, and regulations across the organisation for the handling of data at various stages in its lifecycle as well as the provision of advice on proper data handling and resolution of data breaches in a range of complex, ambiguous or multi-faceted contexts"
Knowledge,Data governance,"Accountability, Confidentiality"
Skill,Data migration,Plan and perform activities to migrate data between computer storage types or file formats
Knowledge,Data migration,"Attention to Details, Prioritize efficiently"
Skill,Data protection management,Develop and implement a Data Protection Management Programme to comply with the Personal Data Protection Act 2012
Knowledge,Data protection management,"Initiative, Ethics and Integrity"
Skill,Data sharing,Assess the value of data to achieve a competitive advantage and business objectives
Knowledge,Data sharing,"Inference, Pattern Recognition and Matching"
Skill,Data Strategy,"Develop a robust and coherent data strategy and support architectures, policies, practices and procedures that enable the organisation to manage and utilise data in an effective manner. This includes introduction of innovative ways of organising, managing and integrating the data of the organisation to ensure their viability and ability to drive business value. It also includes the setting of information storage, sharing, handling and usage protocols to support alignment with relevant legislation and business strategies"
Knowledge,Data Strategy,"Categorization, Continuous Learning"
Skill,Data visualisation,"Implement contemporary techniques, dynamic visual displays with illustrative and interactive graphics to present patterns, trends, analytical insights from data or new concepts in a strategic manner for the intended audience"
Knowledge,Data visualisation,"Initiative, Reliability"
Skill,Data Visualisation and Storyboarding,"Implement contemporary techniques, dynamic visual displays with illustrative and interactive graphics to present patterns, trends, analytical insights from data or new concepts in a strategic manner for the intended audience"
Knowledge,Data Visualisation and Storyboarding,"Initiative, Reliability"
Knowledge,Data visualization,Data visualization
Knowledge,Data visualization,Data visualization
Skill,Database Administration,"Perform Installation, coordination and upgrading of databases and database servers, performance monitoring and troubleshooting. This includes monitoring user access to database and optimisation of database performance, planning for backup and recovery, archived data maintenance and reporting"
Knowledge,Database Administration,"Acumen (Sagacity and shrewness), Attention to Details"
Skills,decision making,decision making
Skill,Decision making,Choose a course of action from several alternatives developed through a structured process in order to achieve intended goals
Skill,Decision making,"Acumen (sagacity and Shrewness), Holistic Thinking "
Skill,Demand analysis,Devise frameworks to assess market dynamics and execute analyses to uncover demand outlook of products or services
Knowledge,Demand analysis,"Curiosity, Judgment (Personal and Professional)"
Skill,Design Concepts Generation,Build preliminary ideas on innovative design concepts and different ways to address needs and opportunities of target stakeholders
Knowledge,Design Concepts Generation,"Curiosity, Holistic thinking"
Skill,Design thinking practice,"Manage design thinking methodologies and processes to solve specific challenges for the organisation, and guide stakeholders through the phases of inspiration, empathy, ideation and implementation"
Knowledge,Design thinking practice,"Cognitive Flexibility, Inquiry (Appreciative)"
Skill,Developing people,Empower others to learn and develop their capabilities to enhance their performance and achieve personal or professional goals
Skill,Developing people,"Leadership (motivating team members), Intrapreneurship"
Knowledge,Development of marketing communication plans,Development of marketing communication plans
Skill,Digital fluency,"Leverage digital technology tools, systems, and software across work processes and activities to solve problems, drive efficiency and facilitate information sharing"
Skill,Digital fluency,"Crossmodal integration, Perception speed"
Skill,Disaster recovery managment,"Develop and implement internal policies, processes and arrangements to guide and enable the prompt recovery of critical IT infrastructure and systems following a crisis or disaster. This includes monitoring the efficiency and effectiveness of response to significant incidents or disruptions and reviewing the organisation's disaster recovery plan and processes."
Knowledge,Disaster recovery managment,"Negotiating and Conflict Resolution, Reflection"
Abilities,Discretion,Discretion
Abilities,Discretion,Exercising discretion is an integral part of being a manager or a business owner. Discretion relates to the freedom to make decisions within the constraints of your authority and applying caution in what you say or do.
Abilities,Effort,Effort
Abilities,Effort,"Employee Effort is an earnest, diligent and strenuous working attempt: a workplace episode when some results are achieved by an employee through exertion or hard work."
Skill,Embedded systems integration,Implement control systems to perform pre-defined tasks and also real-time monitoring for the real world
Knowledge,Embedded systems integration,"Attention to Details, Pattern Recognition and Matching"
Skill,Embedded systems interface design,"Design and set up interface and interconnections from or among sensors, through a network, to a main location, to enable transmission of information"
Knowledge,Embedded systems interface design,"Acumen (Sagacity and shrewness), Cognitive Flexibility"
Skill,Embedded Systems Programming,Program an embedded system using permitted programming interfaces provided by the system to support creation of devices that do not operate on traditional operating systems
Knowledge,Embedded Systems Programming,"Inference, Time Management"
Skill,Emerging technology synthesis,"Monitor and integrate emerging technology trends and developments, structured data gathering for the identification of new and emerging technological products, services and techniques. In addition, the performance of cost-benefit analysis and evaluation of their relevance, viability, sustainability and potential value add to the business"
Knowledge,Emerging technology synthesis,"Continuous Learning, Initiative"
Abilities,"Emotional intelligence (self-awareness, self-regulation, motivation, empathy, and social-awareness)","Emotional Intelligence is the ability to manage both your own emotions and understand the emotions of people around you. There are five key elements to EI: self-awareness, self-regulation, motivation, empathy, and social skills."
Abilities,Endurance,Endurance refers to the stamina and persistence over a long period of time. Endurance is critical for excellence because it enables to work harder than others who bow down to pressures.
Abilities,Engage,Engage is the ability to listen actively and attentively to others and show that the employee values their perspectives and contributions.
Skill,Enterprise architecture,"Operationalise a business strategy on the planning and development of business structures and models to facilitate the evolution of a business to its desired future state. This involves the review and prioritisation of market trends, evaluation of alternative strategies, as well as the strategic evaluation and utilisation of enterprise capability and technology to support business requirements"
Knowledge,Enterprise architecture,"Curiosity, Initiative"
Abilities,Enthusiasm and intrinsic motivation,"Intrinsic motivation is the ability to overcome challenges, perform better, and gain satisfaction and enjoyment in the workplace."
Abilities,Ethics and integrity,Ethics and integrity
Abilities,Ethics and integrity,"Integrity in the workplace comes in many forms, but above all refers to having upstanding character traits and work ethics including sound judgement, honesty, dependability, and loyalty."
Knowledge,Failure analysis,Failure analysis
Knowledge,Failure analysis,Failure analysis
Skill,Failure analysis,Examine the electrical and physical defects evidence to verify the causes of failure as well as identify the failure modes
Knowledge,Failure analysis,"Coordination & Sequencing, Time Management"
Skill,Global perspective,"Operate in cross-cultural environments, demonstrating an awareness of the wider global context and markets to identify potential opportunities and risks"
Skill,Global perspective,"Acumen (sagacity and Shrewness),  Cultural awareness in a broad sense (nationality, ethnicity, linguistic, gender, sexual orientation)"
Abilities,Holistic thinking,"The holistic ability is to take into account the entire system when making decisions. This means that all aspects of the business are considered, not just isolated parts."
Abilities,Inference,Inference ability uses prior knowledge and experience to connect unknown facts with known information. Examining inferences can help employees comprehend situations and understand them in their entirety.
Skill,Influence,"Influence behaviours, beliefs or attitudes in order to achieve desired outcomes and solutions"
Skill,Influence,"Acumen (sagacity and Shrewness), Negotiating and conflict resolution "
Skill,Infrastructure deployment,"Set up, deploy and decommission infrastructure components and associated equipment in accordance to a set plan and established safety and/or quality procedures. This includes the assessment and preparation of appropriate site locations, infrastructure, the development of an installation plan, layout at the site, the testing of on-site systems, infrastructure components, equipment and the correction of issues and/or malfunctions"
Knowledge,Infrastructure deployment,"Coordination & Sequencing, Reliability"
Skill,Infrastructure design,"Establish design policies and principles covering elements of connectivity, capacity, security, access, interfacing as well as the translation of that into the specifications, outline and design of IT infrastructure within the organisation, in order to support the business requirements"
Knowledge,Infrastructure design,"Cognitive Flexibility, Judgment (Personal and Professional)"
Knowledge,Infrastructure implementation,Infrastructure implementation
Skill,Infrastructure Strategy,"Develop a robust strategy and plan for defining and managing a future-ready IT infrastructure, optimising its capacity, availability and synchronisation to enable an organisation's business operations. This involves evaluating infrastructure models and options for infrastructure components, managing infrastructure investments and facilitating the transformation toward the desired future infrastructure model"
Knowledge,Infrastructure Strategy,"Continuous learning, Prudence"
Skill,Infrastructure support,"Provide services to end users by systematically identifying, classifying and troubleshooting technical issues and incidents that disrupt and impact their day-to-day business activities, within a specified timeframe. This also includes implementing an end-to-end problem management process to analyse underlying problems, advising on infrastructure related upgrades and improvements and developing user guides and training materials"
Knowledge,Infrastructure support,"Attention to Details, Judgment (personal and professional)"
Abilities,Initiative,Initiative is the ability to assess a situation and take action without direction from someone else. The initiative is a purposeful self-management that can help employees set goals independently and direct their career trajectory.
Abilities,Inquiry (appreciative),"Appreciative inquiry focuses on acknowledging the strengths and values of employees while understanding, accepting, and searching for positive meanings. It's effective at building teamwork to perpetuate what works and improve performance."
Abilities,"Insight, intuition and imagination","Insight is the ability to intelligent appraise of what’s important from what may be a large pool of information; Intuition is an almost “instinctive” mental process that we quickly “arrive at”. These decisions can arise as guesses and hunches about what to do next. Imagination helps employees to anticipate the unknown, test potential solutions, and improve their nimbleness in responding to problems."
Skill,Integrated Marketing,Develop and execute a marketing plan on and across various channels and platforms as well as the tracking of customers' response and effectiveness to marketing communications on these channels. This also includes the integration of traditional and digital marketing channels and techniques where applicable
Knowledge,Integrated Marketing,"Boldness (Risks Handling ), Coordination & Sequencing"
Skill,Intelligent reasoning,"Design and build intelligent machine reasoning systems that can integrate, make sense of, and act upon heterogeneous sensory information sources, using domain knowledge accumulated in respective industries"
Knowledge,Intelligent reasoning,"Cognitive Flexibility, Pattern Recognition and Matching"
Skill,Internal Controls in Product Development,Evaluate effectiveness and efficiency of internal controls during product development
Knowledge,Internal Controls in Product Development,"Attention to Details, Boldness (Risks Handling )"
Abilities,Intrapreneurship,"Intrapreneurship offers numerous benefits to employees who want to reach their highest potential, learn new skills, and make a difference. Intrapreneurs have the autonomy to control their work, goals, and methods, which can boost motivation, satisfaction, and productivity."
Knowledge,Investigation,Investigation
Skill,IT asset management,"Manage, optimise and protect the organisation's IT assets. This includes the timely purchase, deployment, categorisation, maintenance and phase out of IT assets within the organisation in a way that optimises business value. Also includes development and implementation of procedures to guide the proper handling, usage and storage of IT assets to limit potential business or legal risks"
Knowledge,IT asset management,"Initiative, Categorization"
Skill,IT Governance,"Set and monitor IT infrastructure, information, digital services and associated technology. This involves developing policies and practices to govern the organisation's approach toward handling and using IT products and services in order to ensure conformance with regulations and accountability in decision making in alignment with the business strategic plans and service standards"
Knowledge,IT Governance,"Accountability, Boldness (Risks Handling )"
Skill,IT standards,"Develop and review of standard operating procedures as well as service expectations for IT-related activities and processes. This includes the provision of clear guidelines for the organisation to carry out IT-related tasks in a manner that is effective, efficient and consistent with the IT service standards and quality standards of the organisation"
Knowledge,IT standards,"Attention to Details, Continuous Learning"
Skill,IT strategy,"Plan, develop and communicate effective inward- and outward-facing IT strategies, solutions and action plans, driven by environment scanning and assessment of the business' future needs and long-term strategic direction. This involves devising internal management strategies and models to support and sustain IT transformations and alignment of IT investments and programmes with the strategy to optimise the business value from IT"
Knowledge,IT strategy,"Continuous learning, Leadership (Motivating team members)"
Abilities,Judgment (personal and professional),Judgment is the ability to combine personal qualities with relevant knowledge and experience to form opinions and make decisions
Abilities,Lateral and divergent thinking,"Divergent thinking, often referred to as lateral thinking, is the process of creating multiple, unique ideas or solutions to a problem to solve."
Abilities,Leadership (Motivating team members),Leadership is the ability or strength shown by employees in management roles that aid in guiding and encouraging a team toward achieving a common goal or set of goals.
Skill,Learning agility,Deploy different learning approaches which enable continuous learning across different contexts to drive self-development and the achievement of long-term career goals
Skill,Learning agility,"Continuos Learning, Curiosity"
Skill,Learning and Development,Manage employees’ learning and development activities to maximise employee’ potential and capabilities to contribute to the organisation
Knowledge,Learning and Development,"Continuous Learning, Initiative"
Abilities,Managing changes,"Change management is the ability to manage changes for business growth and to minimize disruption. It includes planning and managing organizational structures, processes, and people changes."
Skill,Manpower planning,Estimate and fulfil manpower requirements to achieve business goals and targets
Knowledge,Manpower planning,"Initiative, Managing Changes"
Abilities,Manual dexterity,"Manual dexterity is the ability to use your hands in a skillful, coordinated way to grasp and manipulate objects and demonstrate small, precise movements."
Knowledge,Market research,Market research
Skill,Market Research,"Plan and conduct marketing and digital research and analysis to uncover market, customer and competitor trends in order to extract useful business insights. This also includes the evaluation of marketing activity effectiveness and development of ways to optimise marketing efforts"
Knowledge,Market Research,"Boldness (Risks Handling ), Continuous learning"
Knowledge,Market trend analysis,Market trend analysis
Skill,Market Trend Analysis,"Devise the framework, manage and conduct the situational analysis process to uncover market trends and industry developments to identify new opportunities"
Knowledge,Market Trend Analysis,"Boldness (Risks Handling ), Categorization"
Skill,Marketing Campaign Management,Develop evaluation strategies for marketing campaign effectiveness and analyse data to provide recommendations for improvements in future marketing campaigns
Knowledge,Marketing Campaign Management,"Boldness (Risks Handling ), Continuous learning"
Skill,Marketing Communications Plan Development,"Formulate, develop and implement marketing communications plans and evaluate tools and vehicles appropriate to reflect effective execution of communication strategies"
Knowledge,Marketing Communications Plan Development,"Attention to Details, Judgment (personal and professional)"
Skill,Marketing Mix Management,"Establish marketing mix frameworks which include development of products, prices, places and promotions as well as, identify levels of customer touch-points"
Knowledge,Marketing Mix Management,"Coordination & Sequencing, Attention to Details"
Knowledge,Marketing strategy,Marketing strategy
Skill,Marketing Strategy,"Define an organisational marketing strategy, consider critical industry trends, customer segments and market developments as well as the communication and implementation of the strategy"
Knowledge,Marketing Strategy,"Categorization, Judgment (personal and professional)"
Skill,Media Platforms Management,Drive organisational policies and procedures for media use as well as develop and implement media plans in business while evaluating their effectiveness
Knowledge,Media Platforms Management,"Cognitive Flexibility, Coordination & Sequencing"
Skill,Media Strategy Development,"Develop, execute and evaluate media strategies and plans to assess impact of media advertising across channels in relation to target customers"
Knowledge,Media Strategy Development,"Continuous Learning, Initiative"
Abilities,Memory (procedural or intrinsic),"Procedural memory refers to cognitive and sensorimotor abilities learned through repetition. The repetition of an activity leads to the progressive consolidation of the memory trace of the involved skills, leading to their automatization."
